City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Joutseno,FI,2020-08-30 20:14:23,61.12,28.51,55.99,93,90,10.29
164,Belaya Gora,RU,2020-08-30 20:14:23,68.53,146.42,40.64,78,57,8.08
165,Abha,SA,2020-08-30 20:14:23,18.22,42.51,77.0,35,47,11.41
166,Aykhal,RU,2020-08-30 20:14:24,66.0,111.5,50.0,61,90,2.24
167,Guarapari,BR,2020-08-30 20:12:31,-20.67,-40.5,79.0,76,2,16.96
168,Kismayo,SO,2020-08-30 20:10:09,-0.36,42.55,77.76,81,0,14.83
169,Carballo,ES,2020-08-30 20:14:24,43.21,-8.69,62.6,59,20,5.82
170,Longyearbyen,SJ,2020-08-30 20:11:31,78.22,15.64,41.0,75,75,18.34
171,Herat,AF,2020-08-30 20:14:25,34.5,62.0,65.44,27,0,13.18
172,Imphal,IN,2020-08-30 20:14:25,24.82,93.95,69.08,93,100,1.43
173,Birao,CF,2020-08-30 20:14:25,10.28,22.79,72.84,93,85,3.85
174,Kruisfontein,ZA,2020-08-30 20:14:26,-34.0,24.73,46.0,81,46,1.99
175,Sioux Lookout,CA,2020-08-30 20:14:26,50.1,-91.92,69.8,52,75,8.05
176,Lompoc,US,2020-08-30 20:14:26,34.64,-120.46,70.0,68,20,10.29
177,Pangai,TO,2020-08-30 20:14:27,-19.8,-174.35,77.0,88,20,10.29
178,Cartagena,CO,2020-08-30 20:14:27,10.4,-75.51,86.0,62,75,6.93
179,Wasilla,US,2020-08-30 20:14:27,61.58,-149.44,61.0,54,1,9.17
180,Nikolskoye,RU,2020-08-30 20:14:28,59.7,30.79,60.8,82,40,6.71
181,Aksehir,TR,2020-08-30 20:14:28,38.36,31.42,71.29,22,0,0.18
182,Sitka,US,2020-08-30 20:14:29,57.05,-135.33,53.6,87,90,8.05
183,Tacuarembo,UY,2020-08-30 20:12:03,-31.73,-55.98,53.71,61,4,9.24
184,Olga,RU,2020-08-30 20:14:29,43.74,135.29,58.59,74,100,10.78
185,Kokopo,PG,2020-08-30 20:14:30,-4.35,152.26,77.79,82,38,9.62
186,Matagami,CA,2020-08-30 20:14:30,49.75,-77.63,60.8,51,75,10.0
187,Mecca,SA,2020-08-30 20:14:09,21.43,39.83,89.28,32,98,4.68
188,Mahebourg,MU,2020-08-30 20:14:31,-20.41,57.7,69.8,94,40,18.34
189,Bonthe,SL,2020-08-30 20:14:31,7.53,-12.51,76.68,85,100,13.06
190,Lata,PT,2020-08-30 20:14:32,40.16,-8.33,66.99,77,0,11.99
191,Saldanha,ZA,2020-08-30 20:14:32,-33.01,17.94,42.8,75,0,2.24
192,Hofn,IS,2020-08-30 20:14:32,64.25,-15.21,51.84,89,100,20.07
193,Pachino,IT,2020-08-30 20:14:33,36.72,15.09,79.0,82,0,8.99
